word,frequency
забыл,14
вон,14
вспомнил,14
утра,14
рюмку,14
написал,14
моего,14
тишина,14
стороны,14
достаточно,14
сделать,14
скажите,14
батенька,14
страх,14
мужчина,14
история,14
крест,14
господь,14
видеть,14
жил,14
вечера,14
глядела,14
ищет,14
дайте,14
диване,14
тело,14
выпить,14
помер,14
вовсе,14
ними,14
садитесь,14
входит,14
э,14
фон,14
увидел,14
флейта,14
власыч,14
едет,14
кнапс,14
щипцов,14
свойкин,14
пятеркин,14
громко,13
барышня,13
начинается,13
кухню,13
сына,13
старается,13
ушел,13
смех,13
вошел,13
тысячу,13
плохо,13
осталось,13
дверью,13
можешь,13
писал,13
постель,13
некогда,13
деле,13
шубу,13
спросила,13
поглядел,13
волосы,13
пяти,13
нечто,13
бывают,13
черти,13
делают,13
дают,13
должна,13
сапог,13
имею,13
узнать,13
любит,13
открыл,13
понимаете,13
полчаса,13
тридцать,13
ветер,13
еле,13
начнет,13
та,13
взгляд,13
воздух,13
улицу,13
хочу,13
неужели,13
почечуев,13
кровати,13
поезд,13
хозяйка,13
своем,13
сделал,13
кстати,13
однажды,13
нашел,13
пешком,13
прошлом,13
шапкин,13
приятно,13
случай,13
понять,13
певица,13
лавочник,13
сюсин,13
сударыня,13
француз,13
шампунь,13
меньше,12
женщин,12
болит,12
робко,12
васильевна,12
слезы,12
твой,12
мимо,12
слегка,12
силы,12
веришь,12
верно,12
слов,12
пошла,12
стала,12
нахмурился,12
губы,12
пот,12
маленькая,12
которых,12
против,12
лоб,12
словом,12
рано,12
зубы,12
превосходительство,12
дому,12
алеша,12
генеральша,12
вечер,12
пимфов,12
говорите,12
прощайте,12
слышится,12
ума,12
также,12
защитник,12
кругом,12
знакомых,12
поговорить,12
пил,12
какую,12
жалованье,12
чёрта,12
неподвижно,12
скажу,12
рубля,12
делом,12
миша,12
твои,12
вскочил,12
антрепренер,12
милость,12
послышался,12
принялся,12
повернулся,12
ловить,12
борода,12
вашего,12
вечно,12
огонь,12
барин,12
налим,12
положим,12
верите,12
пола,12
рядом,12
обед,12
молодая,12
пускать,12
жене,12
дьячок,12
берегу,12
части,12
урядник,12
судья,12
прокурор,12
вязьму,12
бахромкин,12
жилин,11
матушка,11
дни,11
хорош,11
погоди,11
телом,11
любят,11
ваших,11
жутко,11
придя,11
восьмеркин,11
читал,11
самая,11
дура,11
видал,11
послушай,11
науки,11
окна,11
сидела,11
полу,11
нарочно,11
поднял,11
говорила,11
решил,11
пришлось,11
пошли,11
вижу,11
больно,11
большую,11
кое,11
никакого,11
знаем,11
приходит,11
дамы,11
причем,11
сердце,11
делается,11
гости,11
шепчет,11
другие,11
слышал,11
туда,11
ног,11
возьму,11
чувство,11
сего,11
твоя,11
новый,11
братцы,11
талант,11
положил,11
умер,11
забормотал,11
номере,11
первого,11
случилось,11
увидишь,11
проговорил,11
напрасно,11
пожалуйте,11
извини,11
везде,11
общества,11
ждать,11
горбач,11
благородие,11
той,11
утро,11
унтер,11
советник,11
узнал,11
поставил,11
привык,11
лесу,11
болезнь,11
дорогой,11
гони,11
взаймы,11
изволь,11
одеялом,11
лаев,11
унылов,11
пошло,11
сосед,11
ефим,11
ниночка,11
зельтерский,11
обиделся,10
скуки,10
далее,10
сильно,10
будешь,10
твоему,10
достоинством,10
весело,10
подходит,10
брата,10
лошадей,10
длинный,10
плечо,10
заметил,10
каков,10
стараясь,10
лакей,10
крикнул,10
скорей,10
го,10
работа,10
сахару,10
скорее,10
плечи,10
видите,10
каких,10
одеваться,10
нечаянно,10
кабинете,10
хорошая,10
возле,10
служил,10
отсюда,10
погодя,10
кухне,10
часу,10
сил,10
тотчас,10
глядят,10
бежит,10
числа,10
иной,10
стоят,10
злобой,10
начинают,10
шее,10
внимание,10
часто,10
мыслей,10
свадьбы,10
детей,10
моих,10
падает,10
молчит,10
получил,10
суд,10
душе,10
резкий,10
кондрашкин,10
чувствуя,10
собственно,10
пустяки,10
парень,10
ужаса,10
григорий,10
скажет,10
станет,10
вашей,10
ишь,10
зря,10
почувствовал,10
видя,10
высокородие,10
руб,10
имя,10
улице,10
новые,10
платить,10
чувствовал,10
вагона,10
закрыл,10
гребешков,10
кровать,10
комика,10
ужас,10
дрянь,10
пей,10
пол,10
прошел,10
купец,10
людям,10
дама,10
стояла,10
стыдно,10
минуты,10
шаг,10
молчание,10
стихи,10
годится,10
дядя,10
никого,10
хотел,10
нерешительно,10
часов,10
лениво,10
вперед,10
милый,10
грузила,10
раза,10
ногу,10
староста,10
семеныч,10
ведьма,10
бедная,10
петрович,10
подлец,10
звонок,10
главное,10
погода,10
аптеку,10
газеты,10
слышу,10
артистка,10
зеркало,10
пойду,10
театр,10
высокий,10
большая,10
голоса,10
начинаю,10
писатель,10
знают,10
телега,10
проворчал,10
бутылку,10
нехорошо,10
любим,10
шилохвостов,10
пах,10
степан,9
отвечает,9
иметь,9
хотят,9
замечает,9
гляди,9
имеют,9
хлеба,9
стоишь,9
совести,9
губами,9
щеки,9
красный,9
магистр,9
мужики,9
сидели,9
говори,9
жаль,9
ы,9
погляди,9
хватит,9
пахнет,9
дышит,9
третий,9
кармана,9
нами,9
одеяло,9
семь,9
согласился,9
двенадцать,9
кулаками,9
котором,9
поднялся,9
неделю,9
вздохнула,9
фамилия,9
зуб,9
нашем,9
женой,9
говорили,9
спал,9
поле,9
бормотал,9
побежал,9
здоровья,9
доктору,9
воздухе,9
богом,9
знаки,9
запятая,9
наука,9
выпивает,9
учитель,9
выпьем,9
земли,9
колени,9
изредка,9
предмет,9
сзади,9
бери,9
судьи,9
шаги,9
готов,9
ест,9
решительно,9
малый,9
храни,9
потолок,9
спросить,9
милкин,9
хозяин,9
ангел,9
ездить,9
н,9
сих,9
врать,9
попал,9
показать,9
холодный,9
высокоблагородие,9
изволите,9
чувствую,9
бил,9
ответа,9
путь,9
помалу,9
оглядывается,9
первым,9
батюшка,9
легко,9
умею,9
признаться,9
водку,9
месяца,9
шапку,9
грудь,9
дней,9
очевидно,9
каком,9
живут,9
разговор,9
могла,9
согласитесь,9
постоянно,9
большие,9
наша,9
полный,9
потемках,9
врет,9
самых,9
человеку,9
белый,9
будьте,9
прошло,9
письма,9
гляжу,9
махнул,9
времени,9
яйцо,9
пьяного,9
шут,9
вскакивает,9
петровна,9
служить,9
вагон,9
надел,9
шельма,9
руке,9
радости,9
пожал,9
отправился,9
поручик,9
триста,9
евдоким,9
пуркуа,9
взглянул,9
герасим,9
корягу,9
иванович,9
вихленев,9
билеты,9
лестнице,9
аня,9
блудыхин,9
адвокат,9
гейним,9
сема,9
ждет,8
возмутительно,8
службу,8
федя,8
мальчик,8
поднимает,8
вытягивает,8
держи,8
даром,8
старуха,8
невыносимо,8
даст,8
натура,8
вашу,8
иди,8
окном,8
прости,8
согласен,8
спички,8
кулак,8
другую,8
платье,8
пальцы,8
немножко,8
художник,8
курс,8
сконфузился,8
обществе,8
имел,8
желаю,8
потихоньку,8
горло,8
мол,8
ох,8
господину,8
папа,8
улыбнулся,8
кабинет,8
яшкин,8
гость,8
оставьте,8
запятой,8
разные,8
россии,8
е,8
уехал,8
вашему,8
наступает,8
вниз,8
которое,8
характер,8
забыть,8
внимания,8
образ,8
каждую,8
теща,8
беда,8
тон,8
ел,8
поневоле,8
тепло,8
помните,8
жар,8
