word,frequency
начальник,5
кричу,5
дубов,5
мужеского,5
камышева,5
гадюкин,5
ехали,5
толстый,5
встретился,5
вой,5
папиросу,5
шляпки,5
нынешний,5
чувством,5
счастлив,5
наверх,5
иордани,5
провизора,5
фляжкин,5
платформе,5
саша,5
обер,5
вашш,5
гадко,5
девять,5
копейку,5
балалайкин,5
правильно,5
сигаев,5
чувств,5
карточки,5
агент,5
критика,5
парфений,5
рекламу,5
тим,5
базар,5
посудина,5
дурачок,5
замухришин,5
крупинки,5
долбоносов,5
надул,5
городовой,5
синклетеев,5
случается,4
настроении,4
одевается,4
дверей,4
бумагу,4
анфиса,4
поймешь,4
неприятно,4
истины,4
начинай,4
городом,4
обязан,4
отдавать,4
роде,4
домочадцы,4
ложку,4
морщится,4
вкус,4
провизию,4
восторге,4
смею,4
поглядите,4
хорошенько,4
слезами,4
ааа,4
стула,4
твоим,4
молчать,4
этакого,4
взвизгивает,4
салфетку,4
платок,4
правду,4
замечаю,4
произошло,4
извинения,4
судьбу,4
спальную,4
поцелуй,4
серьезным,4
отходит,4
холодного,4
полки,4
сатана,4
людской,4
господ,4
ребята,4
французу,4
закуривая,4
замигал,4
словах,4
вывеска,4
смысл,4
истина,4
звон,4
смейся,4
рака,4
рассказывать,4
остальные,4
печи,4
танцев,4
выше,4
правы,4
интеллигент,4
лакею,4
комнат,4
выступил,4
спину,4
пробили,4
книги,4
границы,4
стенке,4
потолку,4
тощая,4
встань,4
дрожь,4
дурно,4
сиди,4
четвертый,4
пятый,4
шестой,4
штука,4
развитой,4
подпер,4
больных,4
скрыть,4
смущении,4
снимай,4
коридоре,4
самовар,4
предложение,4
средство,4
приказчик,4
уезде,4
идут,4
фамилии,4
фамилию,4
нетерпеливо,4
собачья,4
ой,4
батюшки,4
белого,4
сад,4
породы,4
истинно,4
экий,4
успокоился,4
овса,4
овес,4
надумал,4
генералу,4
твоей,4
уездного,4
жилетки,4
языке,4
лишних,4
знаков,4
рюмки,4
мухи,4
запятых,4
товарищ,4
тюрьму,4
ряд,4
напиши,4
лекарь,4
пороть,4
помилуйте,4
сочинение,4
наук,4
хватая,4
феона,4
новых,4
повторяет,4
локтями,4
громкое,4
тень,4
повернувшись,4
отцов,4
жили,4
составляют,4
блондинки,4
чужим,4
блондинка,4
логика,4
ушли,4
теле,4
гладко,4
женщине,4
волосами,4
зависть,4
щеках,4
многое,4
длинные,4
мебели,4
лучшей,4
существует,4
белье,4
одурь,4
зале,4
тихим,4
влиянием,4
порядок,4
судебного,4
встряхивает,4
колька,4
нарисовал,4
видят,4
лампа,4
проценты,4
копейка,4
обедают,4
защитника,4
надя,4
достоинства,4
выражением,4
игра,4
нож,4
обо,4
просят,4
председателя,4
находят,4
показал,4
скачут,4
прыгает,4
засыпая,4
поет,4
окончательно,4
жених,4
обедаете,4
привел,4
живем,4
побагровел,4
балясы,4
взглядами,4
бросает,4
новая,4
беден,4
получаете,4
беру,4
растрату,4
обомлел,4
потянулся,4
подумав,4
боится,4
живется,4
лишь,4
плеч,4
узнаете,4
ужаленный,4
промычал,4
уходите,4
направился,4
некуда,4
оставалось,4
придумал,4
дорога,4
ветра,4
ушла,4
хлещет,4
постарается,4
чертей,4
вовремя,4
лошаденке,4
завсегда,4
оправдание,4
найдете,4
вопросов,4
доселе,4
пьяном,4
началось,4
привычке,4
собак,4
соседа,4
порошками,4
старухе,4
молчишь,4
грязно,4
строгим,4
вожжи,4
оглядываясь,4
нащупывает,4
плачет,4
вспоминает,4
красивой,4
стучит,4
поднимет,4
панихида,4
темное,4
избу,4
лень,4
лежи,4
отдать,4
машет,4
персона,4
податного,4
бедности,4
жизнеописание,4
написать,4
объявления,4
куска,4
духом,4
возможности,4
фуражку,4
маленькое,4
гораздо,4
колоть,4
лист,4
некоторого,4
перестал,4
ждал,4
придавая,4
крылатку,4
клеопатра,4
берут,4
запоя,4
печатали,4
окаянный,4
висит,4
жду,4
прокл,4
львович,4
лечится,4
ухватиться,4
фигуру,4
длинной,4
купцов,4
россию,4
подлая,4
удивлением,4
дьявол,4
убью,4
пали,4
вытащил,4
страстно,4
пущай,4
узнали,4
муки,4
москву,4
швейцар,4
замечая,4
мерзко,4
густыми,4
обратно,4
шерсти,4
уходя,4
волнение,4
страшном,4
лиза,4
обыскивали,4
брошка,4
бояться,4
горько,4
обиды,4
тяжелый,4
точь,4
столице,4
лежат,4
стыда,4
доброту,4
показалось,4
некстати,4
взяла,4
имеешь,4
опустил,4
дышала,4
шумом,4
душно,4
заметно,4
рукам,4
смертью,4
имение,4
барина,4
поднимаясь,4
остались,4
останется,4
рауля,4
печать,4
греха,4
автор,4
тайны,4
ложь,4
считаю,4
автору,4
женился,4
стоило,4
револьвер,4
держу,4
отрывая,4
желудок,4
вынес,4
увидав,4
пушек,4
гаммы,4
открытие,4
приставать,4
примите,4
незаметно,4
духов,4
блюдечко,4
духами,4
дяди,4
товарища,4
открытое,4
осипыч,4
косясь,4
состояние,4
зашел,4
понимай,4
последовало,4
спите,4
покой,4
захотел,4
благородный,4
вернуться,4
шапки,4
телу,4
огней,4
выборгскую,4
дергает,4
кнутом,4
кривит,4
умеешь,4
иголках,4
шевелит,4
улыбкой,4
неделе,4
калошами,4
молодые,4
подходят,4
погоняй,4
шапка,4
хохочет,4
холера,4
дождавшись,4
смерть,4
рассказать,4
приехали,4
темном,4
обе,4
громадная,4
двору,4
путем,4
мучился,4
рисовать,4
нету,4
латаных,4
григорьев,4
отвечай,4
вопросы,4
гайки,4
гайка,4
чаво,4
отвинчивал,4
вру,4
плавать,4
реке,4
ловят,4
тяжелая,4
рельсов,4
токмо,4
спаси,4
царица,4
недоверчиво,4
бревно,4
образованные,4
штук,4
статья,4
вопросительно,4
чиновника,4
камеры,4
покойник,4
носу,4
аксинья,4
гостю,4
извозчике,4
фи,4
кухни,4
выходи,4
видала,4
цыплят,4
пелагеи,4
охота,4
выходить,4
удивления,4
играет,4
двор,4
мама,4
поставить,4
явился,4
слез,4
помнить,4
клубе,4
недавно,4
голубушка,4
старостой,4
поехали,4
михайловна,4
приняла,4
прихожу,4
десяти,4
жиру,4
сижу,4
возьмите,4
пятьсот,4
бежала,4
давайте,4
занят,4
писем,4
остановились,4
пахло,4
плач,4
русских,4
субъект,4
мерзость,4
вытирает,4
делаете,4
берется,4
четвертого,4
обеими,4
тарантулов,4
погружается,4
воротник,4
встает,4
часам,4
кладет,4
беседа,4
чиновник,4
лахматов,4
пальцев,4
ближе,4
ездит,4
налил,4
печке,4
чиновники,4
мужья,4
пустят,4
бесплатно,4
статского,4
катенька,4
степени,4
веков,4
родителей,4
деревню,4
бестия,4
тварь,4
многих,4
журналы,4
неизвестно,4
дольская,4
каучукова,4
грехи,4
индюков,4
ногой,4
спасения,4
алексеич,4
кончился,4
подходя,4
коридор,4
море,4
вспыхивает,4
потемки,4
спят,4
темных,4
лукич,4
одетый,4
выговорить,4
дует,4
ездил,4
ближнего,4
отдувается,4
шести,4
свободен,4
уснула,4
является,4
чудной,4
букин,4
прежние,4
толку,4
хриплый,4
капитал,4
трава,4
миллион,4
разными,4
пьян,4
простил,4
прячет,4
ста,4
спокойной,4
щупкин,4
подает,4
волнения,4
единственное,4
бежал,4
жирное,4
матвея,4
недоумевает,4
делая,4
касательно,4
слушаю,4
лестницы,4
истории,4
зевая,4
табак,4
занимается,4
похожие,4
службе,4
стене,4
смысле,4
ужин,4
жуков,4
глазками,4
выразиться,4
сливками,4
прощаясь,4
похож,4
читатель,4
поздравить,4
жирными,4
поезда,4
ждала,4
бумажку,4
пускают,4
пара,4
флейты,4
фраке,4
человечка,4
цыпочках,4
зубной,4
сопя,4
вещь,4
никакая,4
луна,4
свободу,4
свинья,4
утрам,4
душой,4
небе,4
красной,4
попала,4
эх,4
снимая,4
терпит,4
разговоры,4
поделаешь,4
удочку,4
веру,4
вечеру,4
взглядом,4
исчезает,4
глазу,4
фрак,4
заяц,4
делам,4
детям,4
форме,4
инженер,4
будущем,4
психологией,4
лев,4
насмешливо,4
молодости,4
помирать,4
месяцев,4
шипит,4
молодость,4
масса,4
тошнит,4
рублев,4
босиком,4
гнусно,4
остался,4
оглашается,4
смеха,4
женских,4
посади,4
партнеров,4
поможет,4
ласково,4
попали,4
портфель,4
лай,4
карточка,4
сударь,4
позвать,4
приедет,4
повестку,4
стуле,4
щиблеты,4
скажете,4
лакеи,4
жалобы,4
понимал,4
добрый,4
станцию,4
почтовых,4
телегу,4
разбирать,4
темная,4
возьмешь,4
нога,4
украл,4
стон,4
сходи,4
перчатки,4
касторки,4
челаэк,4
горячую,4
получать,4
францыч,4
зубов,4
пользу,4
прилично,4
золотых,4
обстановку,4
круги,4
закажи,4
принять,4
номера,4
шлепкин,4
допустим,4
негодование,4
будущего,4
третьих,4
кассиры,4
поводу,4
шея,4
служит,4
костюме,4
евдокиму,4
америку,4
рады,4
приговор,4
хохоча,4
доброе,4
кончится,4
супруг,4
благообразный,4
гору,4
съест,4
горы,4
прикажете,4
страна,4
веря,4
неподвижный,4
кружит,4
мастер,4
дьячихи,4
терпения,4
тюки,4
тепле,4
сени,4
чаи,4
прислали,4
наступила,4
х,4
отвечать,4
белую,4
узел,4
показывай,4
благородного,4
относительно,4
горбатый,4
уйдет,4
берегом,4
рыбку,4
движение,4
служат,4
род,4
исключительно,4
банку,4
либо,4
ревматический,4
разберет,4
пустяка,4
столь,4
будучи,4
половину,4
нравятся,4
сидите,4
ударило,4
французы,4
франция,4
французов,4
цивилизация,4
председатели,4
мировому,4
святочный,4
покрутил,4
нелепо,4
деревянный,4
иванова,4
больны,4
письмами,4
верит,4
иордань,4
колышки,4
аналой,4
индейский,4
угодить,4
рыбу,4
углы,4
капли,4
индейскому,4
петуху,4
аптеки,4
подобное,4
балбинский,4
картонки,4
оказывается,4
привезли,4
просим,4
кондуктор,4
де,4
бабкова,4
какими,4
грызодубов,4
вспомнить,4
вечере,4
кухаркин,4
ужином,4
самолюбия,4
игры,4
стороне,4
дяде,4
службы,4
закуска,4
поэт,4
пьют,4
способы,4
лиц,4
ножом,4
поверенного,4
простой,4
склянку,4
брама,4
глинский,4
визитные,4
корреспондент,4
небрежно,4
манер,4
кои,4
ставите,4
штучку,4
купцу,4
телефона,4
кабинеты,4
славянский,4
эрмитажем,4
хохрюков,4
ждут,4
подтыкин,4
аристарха,4
запятые,4
ставятся,4
знака,4
гривен,4
мраморной,4
ступки,4
луки,4
пятеркина,4
чашки,4
